filename,label
.\NatureConservancyCropped\test\OTHER\img_05731_1.jpg,OTHER
.\NatureConservancyCropped\train\YFT\img_00092_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_03185_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_07290_1.jpg,YFT
.\NatureConservancyCropped\test\OTHER\img_01188_1.jpg,OTHER
.\NatureConservancyCropped\test\BET\img_04423_1.jpg,BET
.\NatureConservancyCropped\test\BET\img_03082_2.jpg,BET
.\NatureConservancyCropped\test\ALB\img_00612_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_01860_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07078_2.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_05922_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_04717_1.jpg,OTHER
.\NatureConservancyCropped\train\OTHER\img_01400_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_01022_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05158_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07883_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07299_4.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_02889_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03939_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_07054_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_05215_5.jpg,ALB
.\NatureConservancyCropped\train\LAG\img_05081_2.jpg,LAG
.\NatureConservancyCropped\train\SHARK\img_02169_1.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_02994_2.jpg,ALB
.\NatureConservancyCropped\test\OTHER\img_03588_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_05016_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00634_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_05280_1.jpg,YFT
.\NatureConservancyCropped\train\OTHER\img_01452_2.jpg,OTHER
.\NatureConservancyCropped\test\YFT\img_06734_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_02579_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_00451_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06915_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_02992_2.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_06146_1.jpg,YFT
.\NatureConservancyCropped\train\OTHER\img_06133_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_06844_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01409_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03604_2.jpg,YFT
.\NatureConservancyCropped\test\BET\img_07231_3.jpg,BET
.\NatureConservancyCropped\train\ALB\img_04714_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01992_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_03312_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00337_3.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07299_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_00383_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04692_1.jpg,ALB
.\NatureConservancyCropped\train\SHARK\img_02732_1.jpg,SHARK
.\NatureConservancyCropped\train\DOL\img_01042_1.jpg,DOL
.\NatureConservancyCropped\train\OTHER\img_02595_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_06808_3.jpg,ALB
.\NatureConservancyCropped\test\BET\img_00717_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_06563_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_01993_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_01125_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_01299_1.jpg,BET
.\NatureConservancyCropped\test\BET\img_05038_1.jpg,BET
.\NatureConservancyCropped\test\YFT\img_05410_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_00109_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01095_3.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03625_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_02255_1.jpg,YFT
.\NatureConservancyCropped\test\SHARK\img_07872_1.jpg,SHARK
.\NatureConservancyCropped\train\BET\img_01003_1.jpg,BET
.\NatureConservancyCropped\train\OTHER\img_00453_1.jpg,OTHER
.\NatureConservancyCropped\train\YFT\img_02014_3.jpg,YFT
.\NatureConservancyCropped\train\BET\img_04557_4.jpg,BET
.\NatureConservancyCropped\train\ALB\img_05811_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_06087_1.jpg,OTHER
.\NatureConservancyCropped\test\SHARK\img_01426_1.jpg,SHARK
.\NatureConservancyCropped\test\BET\img_02384_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_03706_2.jpg,ALB
.\NatureConservancyCropped\train\BET\img_05344_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_03340_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_00407_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04692_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07549_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_06455_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_02897_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_07193_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01319_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01361_2.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_07383_1.jpg,YFT
.\NatureConservancyCropped\train\SHARK\img_04177_1.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_07396_1.jpg,ALB
.\NatureConservancyCropped\train\DOL\img_06209_1.jpg,DOL
.\NatureConservancyCropped\train\ALB\img_07814_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_04156_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04588_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03756_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_00208_3.jpg,ALB
.\NatureConservancyCropped\test\BET\img_07590_3.jpg,BET
.\NatureConservancyCropped\test\YFT\img_02574_1.jpg,YFT
.\NatureConservancyCropped\test\LAG\img_03527_2.jpg,LAG
.\NatureConservancyCropped\train\ALB\img_07672_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_07562_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_06340_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06711_1.jpg,ALB
.\NatureConservancyCropped\test\YFT\img_02282_1.jpg,YFT
.\NatureConservancyCropped\train\BET\img_07378_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_04875_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_02324_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_00075_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01225_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03620_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_06428_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_04817_2.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_01540_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_04237_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_04379_1.jpg,ALB
.\NatureConservancyCropped\train\SHARK\img_04359_1.jpg,SHARK
.\NatureConservancyCropped\train\OTHER\img_04366_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_06727_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00638_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03101_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_05525_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_02626_1.jpg,YFT
.\NatureConservancyCropped\train\OTHER\img_07743_1.jpg,OTHER
.\NatureConservancyCropped\test\BET\img_01213_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_06134_1.jpg,ALB
.\NatureConservancyCropped\train\LAG\img_05386_1.jpg,LAG
.\NatureConservancyCropped\test\BET\img_03238_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_01729_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_00214_3.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_03880_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05681_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01183_2.jpg,ALB
.\NatureConservancyCropped\test\BET\img_04136_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_05215_8.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_06971_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_00744_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_06042_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06693_1.jpg,ALB
.\NatureConservancyCropped\test\OTHER\img_05976_1.jpg,OTHER
.\NatureConservancyCropped\train\YFT\img_07472_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_01072_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_00158_2.jpg,BET
.\NatureConservancyCropped\train\BET\img_04557_6.jpg,BET
.\NatureConservancyCropped\train\ALB\img_03673_2.jpg,ALB
.\NatureConservancyCropped\train\LAG\img_03052_1.jpg,LAG
.\NatureConservancyCropped\train\ALB\img_01934_2.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_02427_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_07858_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04011_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_06042_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06458_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_04670_1.jpg,BET
.\NatureConservancyCropped\train\OTHER\img_02959_1.jpg,OTHER
.\NatureConservancyCropped\train\OTHER\img_01080_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_05896_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04290_1.jpg,ALB
.\NatureConservancyCropped\test\LAG\img_07065_1.jpg,LAG
.\NatureConservancyCropped\test\BET\img_04310_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_01047_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_07825_1.jpg,BET
.\NatureConservancyCropped\test\ALB\img_05595_2.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_02771_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04517_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04500_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07113_1.jpg,ALB
.\NatureConservancyCropped\train\SHARK\img_04819_1.jpg,SHARK
.\NatureConservancyCropped\test\ALB\img_00837_2.jpg,ALB
.\NatureConservancyCropped\test\BET\img_05724_2.jpg,BET
.\NatureConservancyCropped\train\DOL\img_02936_1.jpg,DOL
.\NatureConservancyCropped\train\OTHER\img_05912_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_05709_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_02725_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03664_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_05753_1.jpg,OTHER
.\NatureConservancyCropped\test\BET\img_01684_1.jpg,BET
.\NatureConservancyCropped\train\SHARK\img_05126_1.jpg,SHARK
.\NatureConservancyCropped\test\ALB\img_06571_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04309_3.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_05695_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_04003_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05390_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03437_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_00522_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_03293_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03011_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_04129_4.jpg,BET
.\NatureConservancyCropped\train\OTHER\img_03716_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_07465_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_04049_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_04554_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_01353_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_04064_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_00053_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06539_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05842_4.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06213_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01975_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07153_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_07590_5.jpg,BET
.\NatureConservancyCropped\train\ALB\img_06461_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_06363_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_06126_2.jpg,ALB
.\NatureConservancyCropped\test\BET\img_01966_2.jpg,BET
.\NatureConservancyCropped\train\ALB\img_00866_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_06841_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_07877_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03800_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_06997_1.jpg,BET
.\NatureConservancyCropped\train\SHARK\img_00903_2.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_00712_1.jpg,ALB
.\NatureConservancyCropped\train\DOL\img_05635_1.jpg,DOL
.\NatureConservancyCropped\train\BET\img_01696_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_01045_1.jpg,ALB
.\NatureConservancyCropped\train\DOL\img_01776_1.jpg,DOL
.\NatureConservancyCropped\train\ALB\img_06096_1.jpg,ALB
.\NatureConservancyCropped\train\SHARK\img_00685_1.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_02868_2.jpg,ALB
.\NatureConservancyCropped\train\BET\img_07579_2.jpg,BET
.\NatureConservancyCropped\test\ALB\img_05580_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01255_2.jpg,ALB
.\NatureConservancyCropped\test\BET\img_03128_2.jpg,BET
.\NatureConservancyCropped\train\SHARK\img_04535_2.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_01638_3.jpg,ALB
.\NatureConservancyCropped\test\BET\img_01222_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_03293_3.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06175_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_00212_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_07021_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_04856_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_02032_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_02745_1.jpg,OTHER
.\NatureConservancyCropped\test\BET\img_06616_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_07400_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_03486_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_07653_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_04432_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_05244_3.jpg,BET
.\NatureConservancyCropped\test\BET\img_05775_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_00696_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_00276_1.jpg,YFT
.\NatureConservancyCropped\train\OTHER\img_02680_1.jpg,OTHER
.\NatureConservancyCropped\test\BET\img_06681_3.jpg,BET
.\NatureConservancyCropped\train\YFT\img_07655_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_05236_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07657_5.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03061_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04504_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_04636_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_04115_2.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_05380_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_03866_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_07073_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_05821_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00447_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_04128_1.jpg,BET
.\NatureConservancyCropped\test\YFT\img_02648_1.jpg,YFT
.\NatureConservancyCropped\train\BET\img_07734_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_03224_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_01966_3.jpg,BET
.\NatureConservancyCropped\train\ALB\img_00277_3.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07016_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_04001_3.jpg,ALB
.\NatureConservancyCropped\train\BET\img_01905_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_02295_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_04936_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_01673_1.jpg,BET
.\NatureConservancyCropped\train\OTHER\img_06463_1.jpg,OTHER
.\NatureConservancyCropped\train\YFT\img_03968_1.jpg,YFT
.\NatureConservancyCropped\test\ALB\img_06756_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00617_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_02784_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_00769_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_07449_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_07595_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_03943_1.jpg,BET
.\NatureConservancyCropped\train\SHARK\img_02224_1.jpg,SHARK
.\NatureConservancyCropped\train\ALB\img_07021_3.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00665_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01865_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00831_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_00292_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03282_5.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07670_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04014_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_00908_1.jpg,OTHER
.\NatureConservancyCropped\train\OTHER\img_05715_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_06184_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_00461_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_04694_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_05980_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_05086_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_02343_1.jpg,BET
.\NatureConservancyCropped\test\ALB\img_05595_1.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_01327_1.jpg,OTHER
.\NatureConservancyCropped\train\YFT\img_00047_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_01372_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_06123_1.jpg,ALB
.\NatureConservancyCropped\test\YFT\img_05960_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_01261_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03035_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_06176_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_02373_2.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_01388_2.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_03991_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_06647_2.jpg,ALB
.\NatureConservancyCropped\test\OTHER\img_07746_1.jpg,OTHER
.\NatureConservancyCropped\train\ALB\img_02662_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_03452_1.jpg,BET
.\NatureConservancyCropped\train\BET\img_01912_2.jpg,BET
.\NatureConservancyCropped\test\ALB\img_06936_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07180_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_03228_1.jpg,BET
.\NatureConservancyCropped\train\YFT\img_03211_1.jpg,YFT
.\NatureConservancyCropped\train\YFT\img_04942_1.jpg,YFT
.\NatureConservancyCropped\train\LAG\img_07010_2.jpg,LAG
.\NatureConservancyCropped\train\YFT\img_00955_1.jpg,YFT
.\NatureConservancyCropped\test\BET\img_07621_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_07836_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_03548_3.jpg,ALB
.\NatureConservancyCropped\train\SHARK\img_00510_1.jpg,SHARK
.\NatureConservancyCropped\train\OTHER\img_01648_1.jpg,OTHER
.\NatureConservancyCropped\train\YFT\img_07395_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_02807_1.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_05095_4.jpg,ALB
.\NatureConservancyCropped\test\BET\img_05026_2.jpg,BET
.\NatureConservancyCropped\train\ALB\img_03544_1.jpg,ALB
.\NatureConservancyCropped\train\YFT\img_03313_1.jpg,YFT
.\NatureConservancyCropped\train\ALB\img_06865_1.jpg,ALB
.\NatureConservancyCropped\train\BET\img_02168_1.jpg,BET
.\NatureConservancyCropped\train\ALB\img_02148_3.jpg,ALB
.\NatureConservancyCropped\test\DOL\img_06469_3.jpg,DOL
.\NatureConservancyCropped\test\OTHER\img_04949_1.jpg,OTHER
.\NatureConservancyCropped\train\OTHER\img_00721_1.jpg,OTHER
.\NatureConservancyCropped\test\ALB\img_04118_2.jpg,ALB
.\NatureConservancyCropped\test\ALB\img_07354_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07404_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01243_2.jpg,ALB
.\NatureConservancyCropped\train\LAG\img_07087_1.jpg,LAG
.\NatureConservancyCropped\train\ALB\img_02171_1.jpg,ALB
.\NatureConservancyCropped\test\BET\img_00538_2.jpg,BET
.\NatureConservancyCropped\train\ALB\img_06931_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_07443_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_04728_1.jpg,ALB
.\NatureConservancyCropped\train\ALB\img_01330_3.jpg,ALB
.\NatureConservancyCropped\train\OTHER\img_00126_1.jpg,OTHER
